"Kod";"Nazwa";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0405000;"Powiat golubsko-dobrzyński";"ogółem";"ogółem";"2020";70;"szt.";"";
0405000;"Powiat golubsko-dobrzyński";"ogółem";"ogółem";"2021";;"szt.";"n";
0405000;"Powiat golubsko-dobrzyński";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
0405000;"Powiat golubsko-dobrzyński";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0405000;"Powiat golubsko-dobrzyński";"rynek wtórny";"ogółem";"2020";68;"szt.";"";
0405000;"Powiat golubsko-dobrzyński";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0406000;"Powiat grudziądzki";"ogółem";"ogółem";"2020";66;"szt.";"";
0406000;"Powiat grudziądzki";"ogółem";"ogółem";"2021";;"szt.";"n";
0406000;"Powiat grudziądzki";"rynek pierwotny";"ogółem";"2020";0;"szt.";"x";
0406000;"Powiat grudziądzki";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0406000;"Powiat grudziądzki";"rynek wtórny";"ogółem";"2020";65;"szt.";"";
0406000;"Powiat grudziądzki";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0407000;"Powiat inowrocławski";"ogółem";"ogółem";"2020";633;"szt.";"";
0407000;"Powiat inowrocławski";"ogółem";"ogółem";"2021";;"szt.";"n";
0407000;"Powiat inowrocławski";"rynek pierwotny";"ogółem";"2020";133;"szt.";"";
0407000;"Powiat inowrocławski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0407000;"Powiat inowrocławski";"rynek wtórny";"ogółem";"2020";500;"szt.";"";
0407000;"Powiat inowrocławski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0408000;"Powiat lipnowski";"ogółem";"ogółem";"2020";68;"szt.";"";
0408000;"Powiat lipnowski";"ogółem";"ogółem";"2021";;"szt.";"n";
0408000;"Powiat lipnowski";"rynek pierwotny";"ogółem";"2020";0;"szt.";"";
0408000;"Powiat lipnowski";"rynek pierwotny";"ogółem";"2021";;"szt.";"n";
0408000;"Powiat lipnowski";"rynek wtórny";"ogółem";"2020";68;"szt.";"";
0408000;"Powiat lipnowski";"rynek wtórny";"ogółem";"2021";;"szt.";"n";
0409000;"Powiat mogileński";"ogółem";"ogółem";"2020";90;"szt.";"";
0409000;"Powiat mogileński";"ogółem";"ogółem";"2021";;"szt.";"n";
